# Données détaillées de chaque cascade de faillites
pas,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_faille
162,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
163,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
164,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
166,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
167,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
168,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
169,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
170,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
171,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
174,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
175,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
176,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
177,6,82.1534,0.0,84.969,82.1534,84.969,45.1844,6,1.0,0.0,0,6,14.1615
179,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
180,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
181,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
182,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
183,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
184,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
185,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
186,4,54.7689,0.0,56.646,54.7689,56.646,30.1229,4,1.0,0.0,0,4,14.1615
187,4,54.7689,0.0,56.646,54.7689,56.646,30.1229,4,1.0,0.0,0,4,14.1615
189,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
190,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
191,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
192,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
193,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
195,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
196,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
197,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
198,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
199,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
200,4,54.7689,0.0,56.646,54.7689,56.646,30.1229,4,1.0,0.0,0,4,14.1615
