step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
829,6,8458,6,304.8995,0.0,0.0,0,606.2177,13,0.0,0.0,0,0,1269.4354,1746.2177,663.2177,291.0363,0.029147
830,10,8468,10,238.3512,0.0,0.0,0,1010.1264,6,0.0,0.0,0,0,2115.2528,2910.1264,1105.1264,291.0126,0.029046
831,13,8481,13,342.2343,0.0,0.0,0,1310.9025,10,0.0,0.0,0,0,2745.3049,3780.9025,1434.4025,290.8387,0.028308
832,14,8495,14,409.175,0.0,0.0,0,1415.809,13,0.0,0.0,0,0,2964.618,4075.809,1548.809,291.1292,0.029542
833,12,8507,12,405.6998,0.0,0.0,0,1212.7353,14,0.0,0.0,0,0,2539.4706,3492.7353,1326.7353,291.0613,0.029253
834,9,8516,9,331.409,0.0,0.0,0,910.9046,12,0.0,0.0,0,0,1907.3092,2620.9046,996.4046,291.2116,0.029889
835,8,8524,8,269.7989,0.0,0.0,0,809.7859,9,0.0,0.0,0,0,1695.5718,2329.7859,885.7859,291.2232,0.029942
836,8,8532,8,254.8496,0.0,0.0,0,811.2103,8,0.0,0.0,0,0,1698.4205,2331.2103,887.2103,291.4013,0.030696
837,16,8548,16,357.7057,0.0,0.0,0,1614.265,8,0.0,0.0,0,0,3380.5299,4654.265,1766.265,290.8916,0.028531
838,7,8555,7,366.9508,0.0,0.0,0,709.9633,16,0.0,0.0,0,0,1486.4267,2039.9633,776.4633,291.4233,0.030791
839,11,8566,11,269.3348,0.0,0.0,0,1107.694,7,0.0,0.0,0,0,2319.888,3197.694,1212.194,290.6995,0.027716
840,9,8575,9,297.7396,0.0,0.0,0,907.9073,11,0.0,0.0,0,0,1901.3146,2617.9073,993.4073,290.8786,0.028476
