step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
254,92,150,1,3013.3019,1680.259,2,1020.0853,0,0.0,0.0,124993.8643,404,248993.3295,101632.1542,22827.311,1104.6973,0.01569
255,92,151,1,3022.0442,1689.117,5,891.5632,1,1821.5888,0.0,125328.9516,399,249298.9105,102138.8784,22291.0805,1110.2052,0.015553
256,93,152,1,3034.2017,1685.5563,5,811.1093,0,0.0,0.0,127285.7026,404,251759.5799,102878.1611,22060.7162,1106.2168,0.015638
257,95,154,2,3061.1958,1709.0319,6,765.9889,0,0.0,0.0,129205.9768,410,254209.9485,103526.1611,21952.8106,1089.7491,0.015803
258,97,156,2,3100.9459,1732.1221,7,636.795,0,0.0,0.0,131556.8596,417,257119.2789,104462.8156,21584.6036,1076.9362,0.015978
259,97,157,1,3141.2044,1760.5027,7,693.3298,1,1670.8207,0.0,131663.8454,418,257388.9205,104440.3885,21769.6865,1076.705,0.016018
260,99,159,2,3143.056,1755.1018,6,674.1364,0,0.0,0.0,133723.7098,424,260034.0782,105105.2815,21700.087,1061.6695,0.016209
261,99,160,1,3179.3382,1780.2257,2,981.6361,1,1912.0745,0.0,132325.3136,418,258712.8988,103991.2404,22891.3448,1050.4166,0.016402
262,99,160,0,3156.704,1756.8652,3,1063.4576,0,0.0,0.0,133554.1812,421,260507.5846,104213.6407,23234.7626,1052.663,0.016209
263,98,160,0,3167.0077,1771.8317,2,1185.1663,1,1572.409,0.0,132943.6058,416,260087.3833,103906.5701,23727.2074,1060.2711,0.016052
264,98,160,0,3151.1115,1757.6947,1,1360.2124,0,0.0,0.0,133510.5628,417,261199.554,103765.4081,24413.5831,1058.8307,0.015942
265,99,162,2,3156.2903,1764.4836,1,1495.5715,1,1863.3955,0.0,132244.473,411,260004.2609,103313.8315,24940.9565,1043.5741,0.017724
266,100,163,1,3147.441,1742.4639,2,1453.6064,0,0.0,0.0,133545.2216,413,261844.106,104016.8099,24782.0745,1040.1681,0.016156
267,101,165,2,3186.2637,1757.436,7,986.2524,1,1704.5085,0.0,135207.8321,411,263671.3914,105893.3866,23075.1727,1048.4494,0.016044
268,101,165,0,3230.2378,1769.6973,5,925.8371,0,0.0,0.0,137084.7483,416,266144.6695,106588.3721,22976.549,1055.3304,0.015968
269,101,165,0,3242.5844,1791.7045,1,1173.5529,0,0.0,0.0,137617.4676,417,267273.923,106172.9769,23988.4786,1051.2176,0.016026
270,102,166,1,3236.6209,1797.88,3,1156.7669,0,0.0,0.0,139174.9466,420,269419.9614,106778.8632,23976.1516,1046.8516,0.015975
271,103,167,1,3263.9733,1815.9352,12,480.4292,0,0.0,0.0,143729.4677,432,274578.076,109693.4363,21670.1721,1064.9848,0.015856
272,103,167,0,3322.3008,1869.1786,4,807.6857,0,0.0,0.0,144472.0707,436,275959.5616,109060.1563,22942.3346,1058.8365,0.015893
273,102,167,0,3313.2209,1877.8805,3,982.033,1,2405.9579,0.0,143172.1314,431,274577.2366,108275.5031,23639.6021,1061.5245,0.015857
274,102,168,1,3288.4408,1856.417,6,798.3421,1,1991.0248,0.0,143781.2762,431,275301.704,109032.3546,22998.0731,1068.9447,0.015786
275,103,169,1,3301.2677,1857.5746,7,731.5656,0,0.0,0.0,146016.5013,438,278151.5628,109833.6982,22816.3633,1066.3466,0.015841
276,104,170,1,3328.2129,1884.017,4,909.916,0,0.0,0.0,147212.2655,442,279976.0743,109758.0044,23525.8044,1055.3654,0.01595
277,105,171,1,3341.4168,1898.1892,3,1070.659,0,0.0,0.0,148367.6864,445,281760.6075,109804.3242,24113.5969,1045.7555,0.016052
278,105,172,1,3356.1948,1911.8838,13,446.8919,1,2258.5776,0.0,150680.7913,452,284106.9947,112044.4383,21906.7651,1067.0899,0.015895
279,103,172,0,3389.0559,1934.0495,5,688.6661,2,4704.7271,0.0,147108.0517,442,279895.9389,110334.3041,22968.5831,1071.2068,0.015866
280,104,173,1,3333.6064,1880.63,4,919.5952,0,0.0,0.0,148161.2704,446,281570.1341,110115.7319,23813.1318,1058.8051,0.01599
281,104,173,0,3342.7073,1893.279,5,874.3111,0,0.0,0.0,150268.8458,451,284285.3853,110905.7038,23630.8358,1066.401,0.015921
282,105,174,1,3357.7338,1918.5592,3,1007.2988,0,0.0,0.0,151670.748,454,286307.336,111112.1908,24049.3972,1058.2113,0.015971
283,105,175,1,3377.3534,1935.3411,1,1300.2696,1,2183.2499,0.0,149970.3807,448,284693.9121,110146.1001,25102.4313,1049.0105,0.01608
284,105,175,0,3357.575,1909.9838,1,1488.59,0,0.0,0.0,150606.8475,449,285926.3318,110078.7349,25765.7494,1048.3689,0.016027
285,104,175,0,3357.8088,1917.4672,4,1318.4166,1,2218.847,0.0,150505.6237,446,285867.606,110777.5748,25104.4076,1065.169,0.015896
286,104,175,0,3352.6644,1911.0584,6,966.2168,0,0.0,0.0,153604.8706,452,289545.2244,112637.887,23822.4668,1083.0566,0.015816
287,103,176,1,3380.0264,1947.2625,3,1032.8078,2,4358.0411,0.0,150907.1175,441,286428.3357,112060.2631,23975.9551,1087.9637,0.015778
288,103,176,0,3353.1956,1905.5241,8,775.1703,0,0.0,0.0,153783.2481,449,289880.1737,113480.6588,23131.2668,1101.754,0.015654
289,102,176,0,3376.4728,1939.309,3,969.7961,1,2398.9921,0.0,152489.2112,444,288541.1634,112662.065,23899.8872,1104.53,0.015603
290,101,176,0,3349.7596,1919.0133,12,472.8594,1,2458.0376,0.0,153992.3658,449,289956.4533,114200.8312,22268.2562,1130.7013,0.015413
291,101,176,0,3358.0785,1932.1527,13,378.9433,0,0.0,0.0,156546.8331,462,293082.5557,114860.3252,22180.3974,1137.2309,0.015364
292,100,176,0,3369.0796,1962.8191,1,870.5499,1,2198.9076,0.0,154567.714,456,291168.1383,113152.1687,23948.2556,1131.5217,0.015394
293,96,176,0,3327.7815,1934.994,4,1003.3974,4,9368.5309,0.0,146585.2715,431,281415.9115,110970.2302,24340.4098,1155.9399,0.015141
294,96,177,1,3236.642,1823.1021,6,787.6028,1,2336.5183,0.0,146989.5898,428,281711.8395,111697.3626,23504.8871,1163.5142,0.015107
295,94,177,0,3244.4546,1823.4632,1,1113.7511,2,4471.4413,0.0,142949.1955,413,277099.9518,109952.1595,24668.5968,1169.7038,0.015036
296,93,179,2,3191.4224,1766.6039,4,1083.722,3,7124.1704,0.0,137498.3258,391,270350.114,108751.9784,24564.8098,1169.3761,0.015121
297,92,179,0,3149.0023,1689.2737,2,1153.3979,1,2073.6815,0.0,136590.2577,386,269412.1061,108441.5457,24840.3027,1178.7125,0.015042
298,90,179,0,3128.5831,1673.9782,1,1335.1185,2,4650.7465,0.0,132471.2039,369,264584.0533,107021.9722,25540.8773,1189.133,0.014957
299,90,179,0,3074.9684,1616.7489,6,1018.4283,0,0.0,0.0,134989.3917,375,267473.4533,108427.1489,24506.9126,1204.7461,0.01488
300,90,179,0,3094.2955,1646.3016,4,970.3706,0,0.0,0.0,136784.3294,379,269651.1193,109032.9143,24283.8757,1211.4768,0.014734
301,89,179,0,3107.4874,1667.3545,2,1061.6946,1,2260.7176,0.0,135666.967,374,268418.3804,108555.3551,24641.0583,1219.7231,0.014669
302,89,179,0,3084.1324,1649.9118,7,845.9775,0,0.0,0.0,138053.1913,381,271172.0261,109625.3498,23938.4851,1231.7455,0.014563
303,90,180,1,3103.4191,1678.0115,6,811.1607,0,0.0,0.0,139913.2542,387,273420.8631,110117.9665,23839.6423,1223.533,0.014628
304,90,180,0,3125.065,1699.9345,13,418.2576,0,0.0,0.0,143359.5684,400,277259.5887,111789.1789,22560.8415,1242.102,0.014472
305,91,181,1,3154.513,1741.039,1,865.2174,0,0.0,0.0,143493.8562,401,277817.0989,110566.9005,24211.3422,1215.0209,0.014875
