pas,valeur
140,321.971335
140,303.649175
140,308.29823
140,273.340757
140,286.807473
140,292.83829
140,284.372763
140,287.373194
140,303.576555
140,286.336176
140,287.583221
140,213.700955
140,272.031732
140,187.894968
140,128.560535
140,135.551473
140,199.305654
140,197.779121
145,834.716413
145,833.398338
145,829.323735
145,828.198681
145,827.167108
145,828.545777
145,818.600432
145,820.850845
145,830.055496
145,841.057576
145,852.352723
145,845.102672
145,837.912038
145,734.338058
145,724.009749
145,720.482763
145,709.644193
145,698.411909
145,631.5253
145,626.141808
145,620.852932
145,618.149488
145,615.405235
145,594.982232
145,532.529771
145,532.88878
145,521.739515
145,563.351092
145,563.672823
145,509.34978
145,511.790851
145,496.193834
145,496.049293
145,489.542489
145,484.02288
145,433.655319
145,460.690025
145,413.717451
145,413.265738
145,434.998384
145,412.376907
145,428.658776
145,400.336375
145,392.563114
145,393.106174
145,399.382374
145,403.302093
145,398.521419
145,390.576803
145,378.04289
145,371.609474
145,371.366645
145,371.39107
145,362.359327
145,360.805938
145,352.684041
145,342.779056
145,341.673584
145,334.824659
145,337.036443
145,319.191116
145,322.886125
145,293.835322
145,303.922931
145,308.279629
145,300.30882
145,303.25505
145,316.456251
145,300.764716
145,301.385871
145,232.456803
145,284.808721
145,287.904632
145,235.383483
145,227.41799
145,296.612082
145,302.007366
145,281.047705
145,212.267808
150,848.674622
150,850.038163
150,839.030004
150,840.712355
150,838.715809
150,836.894915
150,831.017921
150,838.117718
150,854.007129
150,844.885429
150,851.139875
150,831.564104
150,826.104169
150,750.731423
150,741.016657
150,737.69781
150,727.494388
150,716.913076
150,648.337819
150,643.254877
150,638.27574
150,635.730229
150,633.145909
150,613.895572
150,549.43094
150,549.755474
150,538.604033
150,583.42625
150,583.738289
150,526.346353
150,529.285729
150,514.168467
150,514.002907
150,507.316817
150,501.627938
150,448.474983
150,479.036835
150,427.871794
150,428.63218
150,454.371225
150,427.577938
150,447.822013
150,416.285103
150,408.465051
150,409.127937
150,418.875778
150,423.094374
150,418.538422
150,410.770913
150,393.560572
150,392.012824
150,392.415976
150,392.311225
150,382.766601
150,377.448997
150,368.127754
150,358.353358
150,354.760131
150,350.452224
150,351.80496
150,334.481093
150,337.225484
150,314.120866
150,320.818516
150,323.505868
150,316.053166
150,318.935099
150,329.156567
150,315.039099
150,315.125795
150,252.135413
150,299.049972
150,299.877705
150,253.474904
150,246.169328
150,307.847761
150,312.677788
150,288.385157
150,223.920887
150,260.022158
150,248.279845
150,281.790726
150,278.750569
155,871.846302
155,874.172792
155,859.528694
155,855.682497
155,852.737062
155,875.377132
155,879.079273
155,840.0805
155,856.752443
155,860.583403
155,852.813096
155,865.467282
155,841.631484
155,766.138845
155,757.010126
155,753.890309
155,744.294964
155,734.338058
155,664.244087
155,659.45164
155,654.771873
155,652.379131
155,649.949603
155,631.837213
155,565.54995
155,565.841099
155,554.704272
155,602.518159
155,602.82047
155,542.591888
155,546.003211
155,531.370584
155,531.185177
155,524.338968
155,518.497808
155,462.759355
155,496.661458
155,441.550107
155,443.481624
155,473.036512
155,442.269406
155,466.299977
155,431.723548
155,423.874961
155,424.652653
155,437.743781
155,442.241076
155,437.91489
155,430.340292
155,408.630285
155,411.83973
155,412.870464
155,412.64029
155,402.625664
155,393.653331
155,383.185492
155,373.563569
155,367.545714
155,365.735562
155,366.243544
155,349.477627
155,351.281041
155,334.10899
155,337.437095
155,338.471774
155,331.552851
155,334.362208
155,341.625971
155,329.095402
155,328.66629
155,271.926687
155,313.325696
155,314.092313
155,272.427931
155,265.730283
155,321.444055
155,325.712917
155,301.203257
155,335.766834
155,272.107296
155,359.041175
155,289.880642
155,283.333948
155,263.837849
155,270.738425
155,105.949034
160,900.851532
160,900.832727
160,882.266846
160,903.591993
160,886.918088
160,889.727932
160,885.984644
160,886.319263
160,876.819729
160,905.820281
160,871.546546
160,903.642338
160,868.844253
160,780.606453
160,772.03608
160,769.106074
160,760.09124
160,750.731423
160,679.275539
160,674.762893
160,670.371453
160,668.125946
160,665.845678
160,648.833063
160,580.900191
160,581.15913
160,570.051436
160,620.645664
160,620.93829
160,558.094897
160,561.951923
160,547.804747
160,547.600655
160,540.612173
160,534.634632
160,476.503647
160,513.558965
160,454.744704
160,457.803605
160,490.979652
160,456.441025
160,484.076695
160,446.636604
160,438.77587
160,439.663138
160,455.959895
160,460.716015
160,456.622161
160,449.252726
160,423.23245
160,431.049818
160,432.686696
