step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
115,0,129,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
116,0,129,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
117,0,129,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
118,0,129,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
119,2,131,2,27.2426,0.0,0.0,0,201.9851,0,0.0,0.0,0,0,422.9702,581.9851,220.9851,290.9926,0.028961
120,0,131,0,33.7467,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
121,0,131,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
122,0,131,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
123,0,131,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
124,0,131,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
125,1,132,1,16.3991,0.0,0.0,0,102.3676,0,0.0,0.0,0,0,214.2351,292.3676,111.8676,292.3676,0.03479
126,1,133,1,36.1455,0.0,0.0,0,102.0787,1,0.0,0.0,0,0,213.6574,292.0787,111.5787,292.0787,0.033568
127,1,134,1,31.7424,0.0,0.0,0,100.2117,1,0.0,0.0,0,0,209.9233,290.2117,109.7117,290.2117,0.025645
128,3,137,3,51.7042,0.0,0.0,0,301.0101,1,0.0,0.0,0,0,630.5202,871.0101,329.5101,290.3367,0.026174
129,1,138,1,59.5595,0.0,0.0,0,101.1347,3,0.0,0.0,0,0,211.7694,291.1347,110.6347,291.1347,0.029568
130,3,141,3,58.8321,0.0,0.0,0,303.4074,1,0.0,0.0,0,0,635.3147,873.4074,331.9074,291.1358,0.02957
131,0,141,0,51.6029,0.0,0.0,0,0.0,3,0.0,0.0,0,0,0,0,0,0.0,0.0
132,1,142,1,12.6331,0.0,0.0,0,100.5034,0,0.0,0.0,0,0,210.5068,290.5034,110.0034,290.5034,0.026886
133,2,144,2,45.8367,0.0,0.0,0,203.4432,1,0.0,0.0,0,0,425.8864,583.4432,222.4432,291.7216,0.032056
134,1,145,1,51.7044,0.0,0.0,0,101.476,2,0.0,0.0,0,0,212.4521,291.476,110.976,291.476,0.031016
135,0,145,0,18.097,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
136,0,145,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
137,2,147,2,26.5982,0.0,0.0,0,201.6661,0,0.0,0.0,0,0,422.3322,581.6661,220.6661,290.8331,0.028283
138,0,147,0,32.781,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
139,0,147,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
140,1,148,1,12.4077,0.0,0.0,0,100.3918,0,0.0,0.0,0,0,210.2836,290.3918,109.8918,290.3918,0.026411
141,5,153,5,84.2238,0.0,0.0,0,505.348,1,0.0,0.0,0,0,1058.1959,1455.348,552.848,291.0696,0.029289
142,1,154,1,101.6938,0.0,0.0,0,102.2881,5,0.0,0.0,0,0,214.0763,292.2881,111.7881,292.2881,0.034454
143,1,155,1,32.8322,0.0,0.0,0,100.5669,1,0.0,0.0,0,0,210.6338,290.5669,110.0669,290.5669,0.027156
144,2,157,2,41.9408,0.0,0.0,0,201.4098,1,0.0,0.0,0,0,421.8196,581.4098,220.4098,290.7049,0.027741
145,1,158,1,46.3052,0.0,0.0,0,101.2074,2,0.0,0.0,0,0,211.9149,291.2074,110.7074,291.2074,0.029877
146,1,159,1,28.9761,0.0,0.0,0,100.0399,1,0.0,0.0,0,0,209.5798,290.0399,109.5399,290.0399,0.024913
147,0,159,0,14.4103,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
148,1,160,1,11.5412,0.0,0.0,0,99.9629,0,0.0,0.0,0,0,209.4257,289.9629,109.4629,289.9629,0.024585
149,2,162,2,44.8179,0.0,0.0,0,203.6439,1,0.0,0.0,0,0,426.2877,583.6439,222.6439,291.8219,0.032481
150,1,163,1,52.1302,0.0,0.0,0,101.213,2,0.0,0.0,0,0,211.926,291.213,110.713,291.213,0.029901
151,2,165,2,49.068,0.0,0.0,0,204.1229,1,0.0,0.0,0,0,427.2457,584.1229,223.1229,292.0614,0.033495
152,0,165,0,39.1125,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
153,2,167,2,24.7767,0.0,0.0,0,200.7644,0,0.0,0.0,0,0,420.5289,580.7644,219.7644,290.3822,0.02637
154,0,167,0,30.4924,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
155,0,167,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
156,2,169,2,30.4366,0.0,0.0,0,203.5661,0,0.0,0.0,0,0,426.1322,583.5661,222.5661,291.783,0.032317
157,3,172,3,79.0846,0.0,0.0,0,303.2231,2,0.0,0.0,0,0,634.9462,873.2231,331.7231,291.0744,0.029306
158,1,173,1,65.6641,0.0,0.0,0,101.4955,3,0.0,0.0,0,0,212.4911,291.4955,110.9955,291.4955,0.031099
159,0,173,0,17.897,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
160,3,176,3,43.7528,0.0,0.0,0,304.4076,0,0.0,0.0,0,0,637.3153,874.4076,332.9076,291.4692,0.030984
161,4,180,4,107.8251,0.0,0.0,0,403.5037,3,0.0,0.0,0,0,845.0074,1163.5037,441.5037,290.8759,0.028462
162,2,182,2,92.3828,0.0,0.0,0,201.3238,4,0.0,0.0,0,0,421.6477,581.3238,220.3238,290.6619,0.027556
163,1,183,1,44.4902,0.0,0.0,0,100.4053,2,0.0,0.0,0,0,210.3107,290.4053,109.9053,290.4053,0.026469
164,1,184,1,28.892,0.0,0.0,0,100.9141,1,0.0,0.0,0,0,211.3281,290.9141,110.4141,290.9141,0.028632
165,2,186,2,41.0226,0.0,0.0,0,200.6433,1,0.0,0.0,0,0,420.2865,580.6433,219.6433,290.3216,0.026113
166,1,187,1,46.7748,0.0,0.0,0,102.4178,2,0.0,0.0,0,0,214.3356,292.4178,111.9178,292.4178,0.035002
167,0,187,0,20.6194,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
168,2,189,2,25.0637,0.0,0.0,0,200.9065,0,0.0,0.0,0,0,420.813,580.9065,219.9065,290.4533,0.02667
169,1,190,1,45.4809,0.0,0.0,0,101.446,2,0.0,0.0,0,0,212.3919,291.446,110.946,291.446,0.030889
170,2,192,2,49.8203,0.0,0.0,0,204.1706,1,0.0,0.0,0,0,427.3412,584.1706,223.1706,292.0853,0.033596
171,2,194,2,63.964,0.0,0.0,0,200.7018,2,0.0,0.0,0,0,420.4035,580.7018,219.7018,290.3509,0.026237
172,3,197,3,74.1659,0.0,0.0,0,304.5018,2,0.0,0.0,0,0,637.5035,874.5018,333.0018,291.5006,0.031117
173,4,201,4,112.9888,0.0,0.0,0,405.888,3,0.0,0.0,0,0,849.7761,1165.888,443.888,291.472,0.030999
174,3,204,3,112.9646,0.0,0.0,0,302.8943,4,0.0,0.0,0,0,634.2885,872.8943,331.3943,290.9648,0.02884
175,1,205,1,66.3639,0.0,0.0,0,102.13,3,0.0,0.0,0,0,213.7601,292.13,111.63,292.13,0.033785
176,2,207,2,48.0336,0.0,0.0,0,202.5751,1,0.0,0.0,0,0,424.1502,582.5751,221.5751,291.2876,0.030215
177,1,208,1,48.2352,0.0,0.0,0,100.7197,2,0.0,0.0,0,0,210.9395,290.7197,110.2197,290.7197,0.027806
178,2,210,2,47.3995,0.0,0.0,0,203.9571,1,0.0,0.0,0,0,426.9142,583.9571,222.9571,291.9786,0.033143
179,0,210,0,38.7031,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
180,2,212,2,25.7103,0.0,0.0,0,201.2266,0,0.0,0.0,0,0,421.4532,581.2266,220.2266,290.6133,0.027348
181,1,213,1,47.087,0.0,0.0,0,101.7968,2,0.0,0.0,0,0,213.0936,291.7968,111.2968,291.7968,0.032375
182,0,213,0,18.9344,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
183,0,213,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
184,1,214,1,15.7602,0.0,0.0,0,102.0513,0,0.0,0.0,0,0,213.6026,292.0513,111.5513,292.0513,0.033452
185,0,214,0,19.7332,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
186,0,214,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
187,0,214,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
188,1,215,1,11.1092,0.0,0.0,0,99.749,0,0.0,0.0,0,0,208.9981,289.749,109.249,289.749,0.023674
189,0,215,0,13.7234,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
190,0,215,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
191,2,217,2,27.5101,0.0,0.0,0,202.1175,0,0.0,0.0,0,0,423.235,582.1175,221.1175,291.0588,0.029246
192,0,217,0,33.9183,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
193,2,219,2,24.9153,0.0,0.0,0,200.8331,0,0.0,0.0,0,0,420.6662,580.8331,219.8331,290.4165,0.026515
194,2,221,2,53.5764,0.0,0.0,0,199.8167,2,0.0,0.0,0,0,418.6335,579.8167,218.8167,289.9084,0.024353
195,0,221,0,28.2436,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
196,2,223,2,29.2619,0.0,0.0,0,202.9846,0,0.0,0.0,0,0,424.9693,582.9846,221.9846,291.4923,0.031085
197,1,224,1,49.5865,0.0,0.0,0,100.9409,2,0.0,0.0,0,0,211.3818,290.9409,110.4409,290.9409,0.028745
198,0,224,0,16.6106,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
199,1,225,1,11.5515,0.0,0.0,0,99.968,0,0.0,0.0,0,0,209.436,289.968,109.468,289.968,0.024607
200,0,225,0,14.2353,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
201,1,226,1,15.6133,0.0,0.0,0,101.9786,0,0.0,0.0,0,0,213.4572,291.9786,111.4786,291.9786,0.033145
202,0,226,0,19.2745,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
