step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
126,80,80,3,1808.1029,248.272,2,1369.1108,0,0.0,0.0,11801.5542,140,61607.0856,44837.5191,5368.0122,560.469,0.024687
127,81,81,1,1841.543,253.0229,3,1323.2204,0,0.0,0.0,12246.0696,143,62870.0025,45721.5045,5307.4284,564.463,0.022962
128,81,81,0,1875.9899,260.1838,1,1390.7028,0,0.0,0.0,12401.608,144,63851.5324,46361.4156,5493.5088,572.3632,0.022679
129,82,82,1,1893.6793,262.7016,2,1402.8691,0,0.0,0.0,12690.5163,146,64977.0479,47139.0647,5557.4669,574.8666,0.022619
130,83,83,1,1921.166,267.3524,2,1420.1866,0,0.0,0.0,12973.2057,148,66106.5494,47912.3595,5635.9842,577.2573,0.022561
131,83,83,0,1946.2946,271.9115,6,1269.6375,0,0.0,0.0,13783.0986,154,67761.1441,49041.9427,5351.1028,590.8668,0.021749
132,83,83,0,1980.3443,284.9212,2,1348.3272,0,0.0,0.0,14056.3596,156,68895.5815,49690.992,5563.23,598.6867,0.021525
133,83,83,0,1995.7576,289.3173,1,1452.1572,0,0.0,0.0,14182.0836,157,69880.3636,50283.3534,5829.9266,605.8235,0.02136
134,83,83,0,2008.7219,291.3418,0,1565.2729,0,0.0,0.0,14182.0836,157,70734.9454,50851.2592,6116.6026,612.6658,0.021241
135,84,84,1,2022.2153,291.3418,1,1603.1589,0,0.0,0.0,14324.5616,158,71737.9372,51593.1709,6240.2047,614.2044,0.021356
136,84,84,0,2043.8417,293.5984,2,1582.6896,0,0.0,0.0,14625.9697,160,72894.0426,52453.8051,6234.2678,624.4501,0.021033
137,84,84,0,2063.9425,298.355,2,1568.5977,0,0.0,0.0,14943.0467,162,74068.4218,53298.8036,6246.5715,634.5096,0.020804
138,86,86,2,2086.8372,303.3155,1,1622.9015,0,0.0,0.0,15099.3395,163,75106.9076,54030.4219,6407.1462,628.2607,0.02266
139,86,86,0,2108.9507,305.7382,4,1506.7844,0,0.0,0.0,15751.0931,167,76625.2814,55116.9514,6187.237,640.8948,0.020696
140,87,87,1,2144.921,315.7896,3,1561.6244,0,0.0,0.0,16007.8414,170,77776.3686,55846.5851,6356.9422,641.9148,0.02072
141,88,88,1,2170.4609,319.7748,1,1638.4808,0,0.0,0.0,16167.7315,171,78837.7399,56541.7243,6568.2841,642.5196,0.020828
