step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
917,24,972,0,162.9728,1.1473,0.0,2,135.5,2,0.0,0.0,0,0,1012.3459,955.8293,176.5165,39.8262,0.082684
918,25,974,2,154.6173,0.0,0.0,1,145.6337,1,0.0,0.0,0,0,1044.3784,981.93,187.4485,39.2772,0.08683
919,24,974,0,155.298,0.0,0.0,1,141.5901,1,0.0,0.0,0,0,1059.4814,995.2103,184.2711,41.4671,0.083509
920,23,974,0,154.9363,0.0,0.0,1,136.3904,1,0.0,0.0,0,0,1041.5471,978.0725,178.4745,42.5249,0.081056
921,25,976,2,154.5004,0.0,0.0,0,152.1784,0,0.0,0.0,0,0,1126.2104,1053.9437,197.2667,42.1577,0.08309
922,26,977,1,163.0865,0.0,0.0,0,159.1736,0,0.0,0.0,0,0,1202.699,1125.223,207.4761,43.2778,0.08199
923,25,977,0,169.3631,0.0,0.0,1,152.7054,1,0.0,0.0,0,0,1191.5664,1115.7108,200.8556,44.6284,0.079256
924,26,979,2,170.8334,0.0,0.0,1,163.1955,1,0.0,0.0,0,0,1233.7363,1151.1434,212.5929,44.2747,0.083659
925,21,979,0,172.161,0.0,0.0,6,122.7094,5,0.0,0.0,18.0738,1,1024.7279,947.6955,163.9587,45.1284,0.081845
926,23,981,2,148.6367,1.3686,0.0,0,142.7991,0,0.0,0.0,18.0738,1,1105.7691,1016.225,186.4703,44.1837,0.083749
927,25,983,2,158.5666,1.3686,0.0,1,150.4132,0,0.0,0.0,31.1739,2,1203.663,1099.6158,197.8733,43.9846,0.083506
928,26,985,2,170.8401,2.7227,0.0,1,161.572,1,0.0,0.0,31.1739,2,1242.3622,1131.138,210.0503,43.5053,0.085805
929,26,985,0,171.6196,2.7227,0.0,1,154.1447,0,0.0,0.0,48.3287,3,1327.206,1202.3237,206.5537,46.2432,0.080152
930,25,986,1,180.4535,4.1865,0.0,3,152.4654,2,0.0,0.0,48.3287,3,1251.5103,1126.99,201.1916,45.0796,0.081885
931,27,988,2,172.1703,4.1865,0.0,0,168.7944,0,0.0,0.0,48.3287,3,1339.548,1205.5854,220.634,44.6513,0.082457
932,26,988,0,178.6954,4.1865,0.0,2,158.5458,1,0.0,0.0,30.2549,2,1275.7382,1166.5379,208.9454,44.8668,0.080041
933,25,988,0,171.8152,2.8179,0.0,1,156.682,1,0.0,0.0,30.2549,2,1292.2177,1179.1571,207.8057,47.1663,0.077979
934,24,988,0,170.8611,2.8179,0.0,1,154.725,1,0.0,0.0,30.2549,2,1298.7829,1182.4184,206.1096,49.2674,0.076283
