K_receveuse,K_donneuse,principal,surplus,partage
200.0,1612.754716981132,706.377358490566,5.910950257791754,0.8065185525577285
200.0,1626.566037735849,713.2830188679245,5.968301555530907,0.8081340366967269
200.0,1640.377358490566,720.188679245283,6.025515883755624,0.8097401030238927
200.0,1654.188679245283,727.0943396226415,6.08259378761894,0.8113368887746634
200.0,1668.0,734.0,6.139535822689275,0.812924527974365
200.0,1681.811320754717,740.9056603773585,6.19634255409153,0.8145031515411914
200.0,1695.6226415094338,747.8113207547169,6.253014555698009,0.8160728873850053
200.0,1709.433962264151,754.7169811320755,6.309552409366319,0.8176338605021648
200.0,1723.245283018868,761.622641509434,6.365956704221517,0.8191861930665696
200.0,1737.0566037735848,768.5283018867924,6.422228035979806,0.8207300045171043
200.0,1750.867924528302,775.433962264151,6.4783670063113945,0.8222654116416555
200.0,1764.6792452830189,782.3396226415094,6.534374222240302,0.8237925286578611
200.0,1778.4905660377358,789.2452830188679,6.590250295578954,0.8253114672907443
200.0,1792.3018867924527,796.1509433962264,6.645995842395386,0.8268223368473868
200.0,1806.1132075471698,803.0566037735849,6.701611482511552,0.828325244288757
200.0,1819.9245283018868,809.9622641509434,6.757097839030578,0.8298202942988471
200.0,1833.7358490566037,816.8679245283018,6.812455537891559,0.8313075893512245
200.0,1847.5471698113206,823.7735849056603,6.867685207450258,0.8327872297731199
200.0,1861.3584905660377,830.6792452830189,6.9227874780842455,0.8342593138071666
200.0,1875.1698113207547,837.5849056603773,6.977762981821115,0.8357239376708787
200.0,1888.9811320754716,844.4905660377358,7.032612351988433,0.837181195613995
200.0,1902.7924528301887,851.3962264150944,7.087336222884389,0.8386311799737487
200.0,1916.6037735849056,858.3018867924528,7.141935229467656,0.8400739812281831
200.0,1930.4150943396226,865.2075471698113,7.1964100070657935,0.8415096880475776
200.0,1944.2264150943395,872.1132075471697,7.250761191100871,0.842938387344068
200.0,1958.0377358490566,879.0188679245283,7.304989416831496,0.8443601643195476
200.0,1971.8490566037735,885.9245283018868,7.359095319110239,0.8457751025119109
200.0,1985.6603773584905,892.8301886792452,7.413079532155891,0.8471832838397063
200.0,1999.4716981132076,899.7358490566038,7.466942689339298,0.8485847886452773
200.0,2013.2830188679245,906.6415094339623,7.520685422982368,0.8499796957364452
200.0,2027.0943396226414,913.5471698113207,7.5743083641695605,0.8513680824267879
200.0,2040.9056603773583,920.4528301886792,7.627812142570853,0.8527500245745837
200.0,2054.7169811320755,927.3584905660377,7.681197386275869,0.8541255966204692
200.0,2068.528301886792,934.2641509433961,7.734464721638531,0.855494871623851
200.0,2082.3396226415093,941.1698113207547,7.787614773131459,0.8568579212981432
200.0,2096.1509433962265,948.0754716981132,7.840648163209856,0.858214816044858
200.0,2109.962264150943,954.9811320754716,7.893565512184161,0.8595656249866022
200.0,2123.7735849056603,961.8867924528302,7.946367438101191,0.8609104159990174
200.0,2137.5849056603774,968.7924528301887,7.9990545566330695,0.8622492557417145
200.0,2151.396226415094,975.6981132075471,8.051627480973778,0.8635822096882307
200.0,2165.2075471698113,982.6037735849056,8.10408682174279,0.864909342155047
200.0,2179.0188679245284,989.5094339622642,8.156433186895406,0.8662307163297099
200.0,2192.830188679245,996.4150943396226,8.20866718163942,0.8675463942980832
200.0,2206.6415094339623,1003.3207547169811,8.260789408357923,0.8688564370707648
200.0,2220.4528301886794,1010.2264150943397,8.312800466537702,0.8701609046086973
200.0,2234.264150943396,1017.132075471698,8.36470095270304,0.871459855848012
200.0,2248.0754716981132,1024.0377358490566,8.416491460354734,0.8727533487241138
200.0,2261.88679245283,1030.943396226415,8.468172579913798,0.874041440195058
200.0,2275.698113207547,1037.8490566037735,8.519744898669927,0.8753241862642306
200.0,2289.509433962264,1044.754716981132,8.571209000734065,0.8766016420023572
200.0,2303.320754716981,1051.6603773584905,8.62256546699524,0.8778738615688756
200.0,2317.132075471698,1058.566037735849,8.673814875081312,0.8791408982326714
200.0,2330.943396226415,1065.4716981132076,8.724957799323185,0.8804028043922342
200.0,2344.754716981132,1072.377358490566,8.775994810722729,0.8816596315952171
200.0,2358.566037735849,1079.2830188679245,8.826926476923852,0.8829114305574474
200.0,2372.377358490566,1086.188679245283,8.877753362186716,0.8841582511813961
200.0,2386.188679245283,1093.0943396226414,8.928476027364887,0.8854001425741237
200.0,2400.0,1100.0,8.979095029885272,0.8866371530647279
400.0,408.0,4.0,0.0004926077594049616,0.5024753688581786
400.0,420.52830188679246,10.264150943396231,0.0031701198521219,0.5062565572905674
400.0,433.0566037735849,16.528301886792462,0.008037917252167404,0.5099280944450812
400.0,445.58490566037733,22.792452830188665,0.01495292465148168,0.5134969545343339
400.0,458.1132075471698,29.056603773584897,0.02378380396343971,0.5169694714070351
400.0,470.64150943396226,35.32075471698113,0.03440975146842362,0.5203514134601243
400.0,483.1698113207547,41.58490566037736,0.04671944360626412,0.5236480480449042
400.0,495.6981132075472,47.84905660377359,0.060610109928838085,0.5268641970648629
400.0,508.22641509433964,54.11320754716982,0.07598671527279066,0.5300042851614505
400.0,520.7547169811321,60.37735849056605,0.09276123610285225,0.5330723816312841
400.0,533.2830188679245,66.64150943396226,0.1108520183446089,0.5360722370203769
400.0,545.811320754717,72.90566037735852,0.1301832059765431,0.5390073151788956
400.0,558.3396226415094,79.16981132075472,0.15068423126542285,0.5418808214297887
400.0,570.867924528302,85.43396226415098,0.1722893588708132,0.5446957273985996
