bras,taille,survie
all_A150,28.0,0.07360256753142547
all_A150,29.0,0.07071409467772127
all_A150,30.0,0.06707675849157524
all_A150,31.0,0.06450922706606044
all_A150,32.0,0.06204867611660869
all_A150,33.0,0.059695105643220114
all_A150,34.0,0.05744851564589459
all_A150,35.0,0.055362396362663824
all_A150,36.0,0.052527413746991214
all_A150,37.0,0.05012035303557105
all_A150,38.0,0.04771329232415089
all_A150,39.0,0.045680663278951594
all_A150,40.0,0.04354105375768924
all_A150,41.0,0.042096817330837144
all_A150,42.0,0.04006418828563785
all_A150,43.0,0.038245520192564886
all_A150,44.0,0.03664081305161804
all_A150,45.0,0.03546402781492375
all_A150,46.0,0.0335918694838192
all_A150,47.0,0.0318801818668093
all_A150,48.0,0.03011500401176781
all_A150,49.0,0.028563787108852656
all_A150,50.0,0.026905589729874335
all_A150,51.0,0.025568333779085295
all_A150,52.0,0.024712489970580398
all_A150,53.0,0.023321743781759774
all_A150,54.0,0.021877507354907677
all_A150,55.0,0.020540251404118748
all_A150,56.0,0.01909601497726665
all_A150,57.0,0.017919229740572362
all_A150,58.0,0.016902915217972714
all_A150,59.0,0.015886600695373065
all_A150,60.0,0.015298208077025977
all_A150,61.0,0.014709815458678777
all_A150,62.0,0.013746991174110712
all_A150,63.0,0.01310510831773204
all_A150,64.0,0.012409735223321783
all_A150,65.0,0.011874832843006167
all_A150,66.0,0.010965498796469686
all_A150,67.0,0.01027012570205943
all_A150,68.0,0.00968173308371223
all_A150,69.0,0.008986359989301973
all_A150,70.0,0.008558438085049525
all_A150,71.0,0.007970045466702325
all_A150,72.0,0.007488633324418292
all_A150,73.0,0.007221182134260484
all_A150,74.0,0.006793260230008036
all_A150,75.0,0.0060443968975661955
all_A150,76.0,0.005669965231345331
all_A150,77.0,0.005349023803155939
all_A150,78.0,0.005028082374966547
all_A150,79.0,0.004653650708745682
all_A150,80.0,0.004225728804493234
all_A150,81.0,0.0040652580903984825
all_A150,82.0,0.0037443166622092017
all_A150,83.0,0.003369884995988226
all_A150,84.0,0.0032629045199250584
all_A150,85.0,0.0029954533297673613
all_A150,86.0,0.00283498261567261
all_A150,87.0,0.0026745119015779695
all_A150,88.0,0.002300080235356994
all_A150,89.0,0.001979138807167713
all_A150,90.0,0.0019256485691361291
all_A150,93.0,0.0018721583311045453
all_A150,94.0,0.001711687617009905
all_A150,95.0,0.0016047071409467373
all_A150,96.0,0.0015512169029152645
all_A150,97.0,0.001390746188820513
all_A150,99.0,0.0011767852366942888
all_A150,100.0,0.001123294998662705
all_A150,104.0,0.0010163145225996484
all_A150,105.0,0.0009093340465364808
all_A150,107.0,0.0008558438085048969
all_A150,109.0,0.0008023535704734241
all_A150,110.0,0.0007488633324418403
all_A150,111.0,0.0006418828563786727
all_A150,112.0,0.0005349023803156161
all_A150,115.0,0.0004814121422840323
all_A150,116.0,0.00042792190425244847
all_A150,117.0,0.00037443166622086466
all_A150,121.0,0.00026745119015780805
all_A150,123.0,0.00021396095212622424
all_A150,128.0,0.00016047071409464042
all_A150,129.0,0.00010698047606316763
all_A150,132.0,5.3490238031583814e-05
new_g060,1.0,1.0
new_g060,2.0,0.4594999758208811
new_g060,3.0,0.3081870496639102
new_g060,4.0,0.24048551670777119
new_g060,5.0,0.20431355481406255
new_g060,6.0,0.1807630929928914
new_g060,7.0,0.1662072634073214
new_g060,8.0,0.15474636104260364
new_g060,9.0,0.14705740122829924
new_g060,10.0,0.13869142608443352
new_g060,11.0,0.1307606750810001
new_g060,12.0,0.1246191788771217
new_g060,13.0,0.11958992214323705
new_g060,14.0,0.11412544126892021
new_g060,15.0,0.10977319986459688
new_g060,16.0,0.1052758837467963
new_g060,17.0,0.10155229943420863
new_g060,18.0,0.0972000580298854
new_g060,19.0,0.09357319019294941
new_g060,20.0,0.0903331882586198
new_g060,21.0,0.08651288747038055
new_g060,22.0,0.08259587020648973
new_g060,23.0,0.07925915179650855
new_g060,24.0,0.07659944871608881
new_g060,25.0,0.07408482034914643
new_g060,26.0,0.07118332607959765
new_g060,27.0,0.0681851153343972
new_g060,28.0,0.06576720344310649
new_g060,29.0,0.06272063446008025
new_g060,30.0,0.06035108080661544
new_g060,31.0,0.0572561535857633
new_g060,32.0,0.05440301755404031
new_g060,33.0,0.05208182213840129
new_g060,34.0,0.0496155520092848
new_g060,35.0,0.047245998355819885
new_g060,36.0,0.0451665941293099
new_g060,37.0,0.04241017457323859
new_g060,38.0,0.040330770346728606
new_g060,39.0,0.03815464964456694
new_g060,40.0,0.036075245418056956
new_g060,41.0,0.03404419942937276
new_g060,42.0,0.03244837758112096
new_g060,43.0,0.030804197495043262
new_g060,44.0,0.029305092122443033
new_g060,45.0,0.027709270274191233
new_g060,46.0,0.026645389042023293
new_g060,47.0,0.025533149572029568
