step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
72,45,45,0,688.588,72.2625,0,534.5213,0,0.0,0.0,2271.5444,44,14894.8304,11074.0912,1774.1948,246.0909,0.033357
73,45,45,0,695.4523,72.2625,0,564.847,0,0.0,0.0,2271.5444,44,15215.417,11313.4655,1855.4072,251.4103,0.033003
74,46,46,1,705.1545,72.2625,2,546.1692,0,0.0,0.0,2413.7311,46,15688.693,11674.1673,1830.7946,253.7862,0.032857
75,46,46,0,721.8338,75.9584,0,580.5101,0,0.0,0.0,2413.7311,46,16016.1493,11911.3524,1921.0657,258.9424,0.032528
76,47,47,1,731.3695,75.9584,2,562.7761,0,0.0,0.0,2561.322,48,16501.4205,12276.279,1898.8195,261.1974,0.032394
77,49,49,2,752.613,79.7404,1,583.9514,0,0.0,0.0,2632.986,49,16931.0304,12580.6559,1962.3885,256.7481,0.035432
78,49,49,0,766.6364,81.5762,1,597.819,0,0.0,0.0,2700.7812,50,17340.8119,12876.2005,2008.8301,262.7796,0.032794
79,49,49,0,779.4944,83.3019,1,606.175,0,0.0,0.0,2783.7444,51,17768.567,13186.4028,2043.4198,269.1103,0.032149
80,49,49,0,790.2942,85.3862,1,616.1865,0,0.0,0.0,2862.9602,52,18193.1606,13493.563,2081.6374,275.3788,0.031551
81,49,49,0,800.7941,87.3496,0,650.9933,0,0.0,0.0,2862.9602,52,18538.8492,13747.0994,2173.7896,280.553,0.031263
82,49,49,0,808.2453,87.3496,0,676.5877,0,0.0,0.0,2862.9602,52,18882.3909,14018.6241,2245.8065,286.0944,0.030969
83,49,49,0,816.1,87.3496,0,696.1193,0,0.0,0.0,2862.9602,52,19224.044,14301.5347,2304.5491,291.8681,0.030673
84,50,50,1,826.4136,87.3496,1,687.6023,0,0.0,0.0,2950.4781,53,19663.4602,14659.9588,2303.0232,293.1992,0.030813
85,51,51,1,843.7167,89.4179,2,662.231,0,0.0,0.0,3116.7023,55,20187.9675,15061.1152,2265.1499,295.316,0.030705
86,52,52,1,863.5708,93.3243,1,677.3421,0,0.0,0.0,3199.6,56,20637.4782,15382.1717,2315.7065,295.811,0.030886
87,53,53,1,879.7833,95.2774,1,692.2694,0,0.0,0.0,3282.5904,57,21092.4769,15708.7663,2366.1201,296.3918,0.03105
88,55,55,2,898.3823,97.2254,3,653.3745,0,0.0,0.0,3547.471,60,21746.7368,16173.7085,2300.5573,294.0674,0.031303
89,55,55,0,922.9493,103.4138,3,632.7913,0,0.0,0.0,3799.7518,63,22380.5354,16581.8193,2273.9644,301.4876,0.030339
90,55,55,0,938.8296,109.3329,1,675.7248,0,0.0,0.0,3886.8866,64,22853.0394,16855.4742,2385.6786,306.4632,0.029925
91,56,56,1,950.1661,111.3665,2,686.4841,0,0.0,0.0,4051.167,66,23413.1548,17213.8245,2428.1633,307.3897,0.029889
