steps,entities_total,alive_final,failures_total,mean_extraction_all,late_credit_tx,late_active_loans,late_loans_per_alive,late_financial_density,late_failures_per_step,late_alive_mean,late_credit_slope,late_loans_slope,late_failures_slope,late_alive_slope,hidden_fragility_total_final,hidden_fragility_ratio_final,mean_lifetime_failed,median_lifetime_failed,watched_count,rmst_full,survival_full,rmst_initial,survival_initial,rmst_born_later,survival_born_later,n_initial,n_born_later,late_cascades,late_secondary_share,late_secondary_per_fragile,late_mean_cascade_size,late_max_cascade_size,seed,theta,lambda_creation,n_candidats_pool,alpha_sigma_brownien,taux_amortissement,beta_late,hazard_late,n_star_pred,n_star_gap,loan_exit_late,hidden_fragility_ratio_geometric_pred,hidden_fragility_ratio_gap
400,887,887,0,9375.798462499999,1.64,418.735,0.5977172948005198,0.04254915921350386,0.0,691.89,0.001825545638640966,1.702193804845121,0.0,1.9129243231080777,15851.749272858966,0.9757143165633179,,,128,400.0,1.0,400.0,1.0,400.0,1.0,101,786,0,0.0,0.0,0.0,0,31,0.35,2,2,0.005,0,0.0023703189813409644,0.0,,,0.0039656188669127046,0.9617103893523911,0.014003927210926803
400,896,896,0,9369.35557575,2.35,681.415,0.9655081117915078,0.06802421555712196,0.0,701.635,-0.007872196804920123,2.3167861696542413,0.0,2.002339308482712,24587.98557173367,0.9818607859343561,,,122,400.0,1.0,400.0,1.0,400.0,1.0,101,795,0,0.0,0.0,0.0,0,32,0.35,2,2,0.005,0,0.003349319803031491,0.0,,,0.0034689711687836597,0.966360537249885,0.015500248684471085
400,938,938,0,9532.552749,2.345,506.975,0.6858962101655787,0.04846688851484923,0.0,723.725,0.0008092702317557938,2.5191622290557265,0.0,2.1238543463586588,20333.83421885885,0.9770500671574449,,,115,400.0,1.0,400.0,1.0,400.0,1.0,102,836,0,0.0,0.0,0.0,0,33,0.35,2,2,0.005,0,0.0032401810079795506,0.0,,,0.004724010659276504,0.954686448701336,0.022363618456108902
400,861,861,0,8995.721585500001,2.245,538.46,0.7873122012253936,0.05584682914439936,0.0,674.135,0.003348833720843021,2.307561689042226,0.0,1.9016567914197855,20953.207607065026,0.9654422322758965,,,117,400.0,1.0,400.0,1.0,400.0,1.0,104,757,0,0.0,0.0,0.0,0,34,0.35,2,2,0.005,0,0.003330193507235198,0.0,,,0.004229825858219898,0.9592529189321317,0.006189313343764824
400,884,884,0,9003.0403295,2.6,609.175,0.8783026381617361,0.06332637759714262,0.0,685.86,0.008737718442961074,2.426857421435536,0.0,1.9313207830195755,24728.90020148162,0.9544852246403216,,,126,400.0,1.0,400.0,1.0,400.0,1.0,101,783,0,0.0,0.0,0.0,0,35,0.35,2,2,0.005,0,0.003790861108681072,0.0,,,0.004316121737508659,0.9584526917859713,-0.003967467145649661
400,881,881,0,9464.42271025,2.865,630.325,0.879071956645136,0.0620822995498961,0.0,705.295,0.004982374559363985,2.7993602340058503,0.0,1.8315660391509787,25291.346586642147,0.9596669388024441,,,122,400.0,1.0,400.0,1.0,400.0,1.0,104,777,0,0.0,0.0,0.0,0,36,0.35,2,2,0.005,0,0.004062130030696376,0.0,,,0.0046209300615150635,0.9556357368020642,0.004031202000379985
400,954,954,0,9960.12520275,1.82,505.21,0.6655942243677541,0.04686353384966076,0.0,752.25,0.0038100952523813097,1.8849831245781143,0.0,2.07894397359934,18814.905008476584,0.9700891063402343,,,131,400.0,1.0,400.0,1.0,400.0,1.0,103,851,0,0.0,0.0,0.0,0,37,0.35,2,2,0.005,0,0.0024194084413426387,0.0,,,0.0036349600894461298,0.9648018925478521,0.005287213792382173
400,867,867,0,8894.032278,2.2,513.275,0.7700982315153801,0.05494345799429839,0.0,656.625,0.0002475061876546913,2.243197329933248,0.0,1.897854196354909,20139.944111713394,0.9745241489895923,,,122,400.0,1.0,400.0,1.0,400.0,1.0,101,766,0,0.0,0.0,0.0,0,38,0.35,2,2,0.005,0,0.0033504664001522944,0.0,,,0.004350700031552248,0.9581323807557791,0.016391768233813164
400,924,924,0,9581.201526499999,1.83,508.875,0.6964161578206235,0.04948884833689417,0.0,724.745,0.001212030300757519,1.8706840171004275,0.0,2.039193729843246,18829.16088627844,0.9792698597800671,,,131,400.0,1.0,400.0,1.0,400.0,1.0,102,822,0,0.0,0.0,0.0,0,39,0.35,2,2,0.005,0,0.0025250260436429366,0.0,,,0.003625743049306604,0.9648883227834892,0.014381536996577848
400,857,857,0,9000.556128,3.38,672.795,0.9801954495158836,0.06947990916056551,0.0,672.405,0.005368634215855397,3.3040493512337807,0.0,1.8794727368184205,28224.12674379591,0.9598316235682568,,,127,400.0,1.0,400.0,1.0,400.0,1.0,101,756,0,0.0,0.0,0.0,0,40,0.35,2,2,0.005,0,0.005026732400859601,0.0,,,0.005128295997846443,0.9509795618715374,0.008852061696719371
400,888,571,317,8005.87636375,38.54,2892.735,5.04461901104616,0.3119158743556533,1.575,570.61,0.11199879996999924,8.248381459536489,0.011722043051076277,0.2502392559813995,90018.65868769992,0.8890581804413127,210.6309148264984,203,124,290.4769221789083,0.3713731258181003,349.7623762376237,0.5544554455445541,277.83187398131724,0.3275401079117133,101,787,145,0.1365079365079365,0.15808823529411764,2.1724137931034484,7,31,0.35,2,3,0.005,0,0.06754175356197753,0.0027602039922188532,724.584126984127,-153.584126984127,0.01338887107511626,0.880509834976976,0.008548345464336693
400,937,636,301,8319.2385595,38.7,2965.715,4.78063372232017,0.30556633871296224,1.475,615.185,0.12030900772519312,9.577612690317258,0.01273756843921098,0.5555666391659791,104348.594738039,0.885108951871976,210.58471760797343,202,126,296.6139491262795,0.3997785317777859,351.9801980198018,0.6039603960396036,284.37487122791794,0.36298655873421687,101,836,141,0.15593220338983052,0.18473895582329317,2.0921985815602837,8,32,0.35,2,3,0.005,0,0.0629079057519283,0.002397652738607086,834.1491525423727,-198.1491525423727,0.013158905159000008,0.8823448634589194,0.0027640884130566423
400,855,632,223,7901.762398250001,32.25,2583.645,4.298127566415506,0.2826941214070691,1.115,591.0,0.18978474461861547,11.908516462911573,0.013819095477386936,0.8885877146928673,101555.71190839657,0.8841896412593667,232.61434977578475,228,130,318.544317853591,0.45396928949183907,366.9509803921567,0.6470588235294119,305.0489258101139,0.39535499158485116,102,753,118,0.11210762331838565,0.12626262626262627,1.8898305084745763,6,33,0.35,2,3,0.005,0,0.05456852791878172,0.00188663282571912,1060.0896860986547,-428.08968609865474,0.012695883748348132,0.8860602543969526,-0.0018706131375858526
400,910,800,110,9133.18327825,25.075,2259.24,3.1664679057242724,0.213858341635306,0.55,686.08,0.1969241731043276,16.12948623715593,0.0103697592439811,1.5560924023100577,110735.67162986749,0.8855577627077843,289.7181818181818,304,122,367.52185950975775,0.6176083571666837,385.08653846153857,0.7403846153846158,359.5873809628185,0.0,104,806,65,0.06363636363636363,0.06796116504854369,1.6923076923076923,4,34,0.35,2,3,0.005,0,0.03654821595149253,0.0008016557835820896,2494.8363636363633,-1694.8363636363633,0.011542266348388201,0.8954391582789248,-0.009881395571140539
400,875,660,215,8367.00770575,31.125,2559.55,4.001713476075825,0.26579840165536195,1.065,627.79,0.16968199204980125,12.030147753693843,0.014515112877821945,0.9309157728943224,96510.10082883704,0.896680845677276,241.54883720930232,239,123,327.41584059487764,0.4574895856193193,367.1089108910892,0.6039603960396036,317.48066991589786,0.43834850888100174,101,774,106,0.107981220657277,0.12105263157894737,2.009433962264151,7,35,0.35,2,3,0.005,0,0.04957868076904698,0.0016964271492059446,1178.9483568075118,-518.9483568075118,0.01238936297299951,0.8885351739661098,0.008145671711166202
