steps,entities_total,alive_final,failures_total,mean_extraction_all,late_credit_tx,late_active_loans,late_loans_per_alive,late_financial_density,late_failures_per_step,late_alive_mean,late_credit_slope,late_loans_slope,late_failures_slope,late_alive_slope,hidden_fragility_total_final,hidden_fragility_ratio_final,mean_lifetime_failed,median_lifetime_failed,watched_count,rmst_full,survival_full,rmst_initial,survival_initial,rmst_born_later,survival_born_later,n_initial,n_born_later,late_cascades,late_secondary_share,late_secondary_per_fragile,late_mean_cascade_size,late_max_cascade_size,seed,theta,lambda_creation,n_candidats_pool,alpha_sigma_brownien,taux_amortissement
400,866,633,233,8116.5695365,31.825,2609.695,4.363747726947697,0.2802322447455168,1.15,591.545,0.10706142653566339,9.279124728118203,0.01143028575714393,0.6531260781519538,94589.9827469572,0.9130865179763117,240.93991416309012,238,119,319.59798648083813,0.41150390861787833,353.4950495049505,0.5049504950495046,311.85668583666904,0.3871501779244695,101,765,121,0.12173913043478261,0.13861386138613863,1.9008264462809918,6,41,0.35,2,3,0.005,0
400,934,700,234,8602.38230725,34.54,2771.14,4.220710274387329,0.27648320109359903,1.165,647.575,0.1619755493887347,11.124209105227632,0.012170554263856596,0.9751451286282157,110454.94089995557,0.9017243921920738,237.34615384615384,234,120,321.8354406384613,0.4481406731755686,358.97087378640794,0.5825242718446603,312.906137162888,0.4208529379925707,103,831,117,0.11587982832618025,0.13106796116504854,1.9914529914529915,5,42,0.35,2,3,0.005,0
400,917,695,222,8688.49139925,32.125,2642.02,4.026830019121696,0.27751348966779676,1.11,644.03,0.1781347033675842,12.635720393009825,0.01476036900922523,1.0264381609540238,115185.30081097192,0.8955964295265882,241.8153153153153,241,124,328.50039558135194,0.45480419379136516,370.31683168316823,0.5940594059405938,318.825834715251,0.4626947301243046,101,816,109,0.12162162162162163,0.13846153846153847,2.036697247706422,6,41,0.5,2,3,0.005,0
400,878,573,305,8100.6887145,37.115,2738.755,4.720086705599015,0.3093265181251489,1.51,576.44,0.137731193279832,9.297381684542113,0.012795319882997074,0.2962709067726693,100869.81948634853,0.8781751528779754,218.24590163934425,210,125,297.8578038710195,0.3794167838171324,360.2038834951459,0.5728155339805827,284.2089851015102,0.34936331876418814,103,775,140,0.16225165562913907,0.19367588932806323,2.157142857142857,6,42,0.5,2,3,0.005,0
400,885,599,286,8077.0423415000005,35.69,2780.955,4.686901794328933,0.3139333484473223,1.425,587.71,0.1452126303157579,11.087596939923499,0.01272556813920348,0.5495267381684542,112445.40958562237,0.8691769711074715,221.34965034965035,211,126,301.24854293249496,0.38381752741121167,358.2376237623761,0.5841584158415839,287.78016154246745,0.34625742146831145,101,784,138,0.22105263157894736,0.28378378378378377,2.0652173913043477,6,41,0.7,2,3,0.005,0
400,888,462,426,7308.608658499999,41.47,3035.74,6.04693408336929,0.3525499107810838,2.07,505.77,0.03318382959573989,5.775438385959649,0.007687692192304808,-0.4281992049801245,80046.40018353725,0.8603180790405645,180.32863849765258,163,123,250.42750626389318,0.271138161046232,335.47572815533977,0.5145631067961167,233.6550835208161,0.20684598550903788,103,785,172,0.28743961352657005,0.4033898305084746,2.4069767441860463,7,42,0.7,2,3,0.005,0
400,1294,1294,0,13078.664267249998,2.83,753.68,0.7482924820542963,0.04661706672399725,0.0,1000.315,0.004120603015075377,2.7786139653491335,0.0,3.0364726618165454,24883.10939512929,0.9697164229048132,,,137,400.0,1.0,400.0,1.0,400.0,1.0,103,1191,0,0.0,0.0,0.0,0,41,0.2,3,3,0.005,0
400,1322,1321,1,13398.206744500001,4.315,1105.275,1.0708980815055973,0.06658999919126087,0.005,1022.31,0.0019237980949523739,4.317230180754519,-3.975099377484437e-05,3.0428455711392783,37444.89834838903,0.979971344217582,240.0,240,137,399.7372742200329,0.9983579638752053,400.0,1.0,399.6825396825397,0.998015873015873,105,1217,1,0.0,0.0,1.0,1,42,0.2,3,3,0.005,0
400,1260,1180,80,12486.308568,24.675,2881.45,2.9323989756495923,0.2032407777402238,0.4,952.21,0.14138228455711394,17.15896047401185,0.00620865521638041,2.512651316282907,146389.8429084788,0.9166413905208257,306.1375,308,139,381.9134733552978,0.7437969141720695,390.5242718446603,0.796116504854369,379.7828127696953,0.7792961587501357,103,1157,60,0.05,0.05263157894736842,1.3333333333333333,3,41,0.35,3,3,0.005,0
400,1328,1316,12,13787.29922525,16.88,2368.095,2.1868739352089306,0.15254891672788493,0.06,1045.27,0.09992199804995125,15.438440711017776,0.001341033525838146,2.7721833045826147,124477.70492826207,0.9237227096563937,342.0,353,149,397.9882266087562,0.9522430917916611,399.81904761904764,0.980952380952381,397.0930266326311,0.938332526570185,105,1223,11,0.0,0.0,1.0909090909090908,2,42,0.35,3,3,0.005,0
400,1296,1156,140,12353.3003385,35.625,3306.66,3.339559333757716,0.23185676960987667,0.7,950.01,0.2704725118127953,23.41368034200855,0.011898297457436436,2.535436885922148,186960.00877516993,0.8993389651032617,287.2214285714286,286,143,367.40992488198464,0.626286690295463,382.9126213592234,0.6893203883495147,364.31479091155137,0.665579740690635,103,1193,82,0.09285714285714286,0.10236220472440945,1.7073170731707317,6,41,0.5,3,3,0.005,0
400,1302,1127,175,12193.46797475,35.035,3186.685,3.2471543708831807,0.23067842732794525,0.875,947.365,0.25041101027525686,20.519426235655892,0.013853596339908498,2.413240081002025,165283.42098881668,0.9172094450940602,269.54285714285714,272,131,356.2039547223073,0.6017847976042289,380.0380952380952,0.7333333333333337,350.57624266340474,0.5643146923604803,105,1197,89,0.06857142857142857,0.0736196319018405,1.9662921348314606,5,42,0.5,3,3,0.005,0
400,1315,1101,214,13141.114761,40.6,3537.43,3.4518653603166998,0.2436730013480471,1.07,992.32,0.3389244731118278,23.740393009825247,0.018826970674266856,1.9112802820070502,190063.81929739608,0.8897071517127504,276.06542056074767,273,144,353.7578684020417,0.530823014254049,383.04854368932047,0.6893203883495147,347.5461366157579,0.5183412269044949,103,1212,96,0.13551401869158877,0.15675675675675677,2.2291666666666665,6,41,0.7,3,3,0.005,0
400,1332,1016,316,12656.094320749999,47.72,3967.69,4.068987386339669,0.28208580917061626,1.575,955.43,0.3189769744243606,20.6596804920123,0.021784294607365185,1.4611220280507013,187027.24403430294,0.8814676300652574,243.75,247,145,328.3952110065203,0.4804847293994461,369.8857142857143,0.7047619047619051,320.3844468071672,0.41579170248572367,105,1227,127,0.16825396825396827,0.20229007633587787,2.4803149606299213,7,42,0.7,3,3,0.005,0
400,1715,1715,0,17181.162306500002,2.275,658.335,0.4952235939051591,0.030265536115756223,0.0,1321.985,-0.0011092777319432986,2.3194292357308934,0.0,3.9710440261006523,20397.509756249106,0.9813202023060612,,,142,400.0,1.0,400.0,1.0,400.0,1.0,104,1611,0,0.0,0.0,0.0,0,41,0.2,4,3,0.005,0
400,1750,1750,0,17436.9012175,2.785,832.975,0.615716772601952,0.03799448846198468,0.0,1347.16,0.005375384384609615,2.840809270231756,0.0,4.053827345683642,26343.02656603665,0.971149894556954,,,133,400.0,1.0,400.0,1.0,400.0,1.0,105,1645,0,0.0,0.0,0.0,0,42,0.2,4,3,0.005,0
400,1661,1657,4,16517.04060625,10.01,1715.765,1.3218333157658506,0.09516106631798944,0.02,1262.225,0.03834845871146779,9.806899422485563,0.00036600915022875574,4.0177146928673215,81121.71827673496,0.9653801039647817,351.25,379,145,399.469348712405,0.9825535569045948,399.3653846153846,0.9807692307692308,399.52462797619046,0.9872271825396826,104,1557,4,0.0,0.0,1.0,1,41,0.35,4,3,0.005,0
400,1700,1695,5,17121.841486,12.105,2221.28,1.6569144058104903,0.1181886197764506,0.025,1311.15,0.04596039900997525,11.393053326333158,0.0004537613440336008,3.8273351833795846,103840.0376530811,0.9503755185151123,327.6,339,150,399.1272538925937,0.9871831039258191,398.9809523809524,0.980952380952381,399.28270034034654,0.9911625928217822,105,1595,5,0.0,0.0,1.0,1,42,0.35,4,3,0.005,0
400,1767,1693,74,17169.18784225,29.07,3612.37,2.5876023535685575,0.18655694725146957,0.37,1346.48,0.19550438760969024,23.405610140253508,0.00748668716717918,3.879348983724593,194475.57121895946,0.9232020534998197,312.05405405405406,310,144,387.3432046422659,0.8113534429805286,396.3461538461538,0.8942307692307696,385.10429146484597,0.8046388096010935,104,1663,48,0.05405405405405406,0.05714285714285714,1.5416666666666667,4,41,0.5,4,3,0.005,0
400,1675,1620,55,16195.413135750001,25.855,3088.14,2.391248433824619,0.1771248978125897,0.275,1244.62,0.19953723843096077,20.248551713792846,0.004604365109127729,3.930663766594165,177527.25678629018,0.914279296985693,319.0181818181818,334,148,390.5173073004429,0.8292186105951991,393.7142857142857,0.8761904761904765,389.0132728263397,0.7431806969773189,105,1570,41,0.07272727272727272,0.0784313725490196,1.3414634146341464,5,42,0.5,4,3,0.005,0
400,1664,1575,89,16420.3844695,32.795,3571.03,2.7122722933489554,0.19802028163843274,0.445,1263.05,0.25722568064201606,25.23762994074852,0.008708467711692792,3.4887107177679444,211549.40820042946,0.9009210869586939,295.96629213483146,292,142,384.0319054875931,0.7906485609134479,396.0192307692308,0.8846153846153848,381.45679858439377,0.7516986873820646,104,1560,53,0.02247191011235955,0.022988505747126436,1.679245283018868,6,41,0.7,4,3,0.005,0
400,1716,1640,76,16886.1847515,27.175,3390.645,2.532411175758648,0.1889334743290524,0.38,1295.125,0.18823145578639466,21.25660766519163,0.006000150003750094,3.6692709817745444,193622.42907648926,0.9295079145059836,303.64473684210526,310,145,386.12845995137576,0.8162989993062483,390.73333333333335,0.885714285714286,384.27501289420314,0.7728961571196588,105,1611,51,0.07894736842105263,0.08571428571428572,1.4901960784313726,3,42,0.7,4,3,0.005,0
